Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
emptyString	100	1	1	35	50					1	130	abs-cold		1	3										weap	ring	amul										0	0
emptyString	100	1	1	35	50					1	130	abs-cold		2	7										armo												0	0
emptyString	100	1	1	40	55					1	130	abs-cold		2	4										weap	ring	amul										0	0
emptyString	100	1	1	40	55					1	130	abs-cold		5	10										armo												0	0
emptyString	100	1	1	45	60					1	130	abs-cold		3	5										weap	ring	amul										0	0
emptyString	100	1	1	45	60					1	130	abs-cold		7	12										armo												0	0
emptyString	100	1	1	50	65					1	130	abs-cold		4	6										weap	ring	amul										0	0
emptyString	100	1	1	50	65					1	130	abs-cold		10	15										armo												0	0
emptyString	100	1	1	55	70					1	130	abs-cold		5	7										weap	ring	amul										0	0
emptyString	100	1	1	55	70					1	130	abs-cold		12	17										armo												0	0
emptyString	100	1	1	60	72					1	130	abs-cold		6	8										weap	ring	amul										0	0
emptyString	100	1	1	60	72					1	130	abs-cold		15	20										armo												0	0
emptyString	100	1	1	65	74					1	130	abs-cold		7	9										weap	ring	amul										0	0
emptyString	100	1	1	65	74					1	130	abs-cold		17	22										armo												0	0
emptyString	100	1	1	70	76					1	130	abs-cold		8	10										weap	ring	amul										0	0
emptyString	100	1	1	70	76					1	130	abs-cold		20	25										armo												0	0
emptyString	100	1	1	72	78					1	130	abs-cold		9	11										weap	ring	amul										0	0
emptyString	100	1	1	72	78					1	130	abs-cold		22	27										armo												0	0
emptyString	100	1	1	74	80					1	130	abs-cold		10	12										weap	ring	amul										0	0
emptyString	100	1	1	74	80					1	130	abs-cold		25	30										armo												0	0
emptyString	100	1	1	76	82					1	130	abs-cold		11	13										weap	ring	amul										0	0
emptyString	100	1	1	76	82					1	130	abs-cold		27	32										armo												0	0
emptyString	100	1	1	78	84					1	130	abs-cold		12	14										weap	ring	amul										0	0
emptyString	100	1	1	78	84					1	130	abs-cold		30	35										armo												0	0
emptyString	100	1	1	80	86					1	130	abs-cold		13	15										weap	ring	amul										0	0
emptyString	100	1	1	80	86					1	130	abs-cold		32	37										armo												0	0
emptyString	100	1	1	82	88					1	130	abs-cold		14	16										weap	ring	amul										0	0
emptyString	100	1	1	82	88					1	130	abs-cold		35	40										armo												0	0
emptyString	100	1	1	84	90					1	130	abs-cold		15	17										weap	ring	amul										0	0
emptyString	100	1	1	84	90					1	130	abs-cold		37	42										armo												0	0
