Property	Hierarchy	Type	MinLvl	ItemType	Param	LvlFunc	MinValue	MaxValue
red-dmg%	2	normal	1	armo		ln	x/32 * 100	x/24 * 100
res-fire	2	fire	1	armo, weap, ring, amul		ln	x/24 * 100	x/16 * 100
res-ltng	2	lightning	1	armo, weap, ring, amul		ln	x/24 * 100	x/16 * 100
res-cold	2	cold	1	armo, weap, ring, amul		ln	x/24 * 100	x/16 * 100
res-pois	2	poison	1	armo, weap, ring, amul		ln	x/24 * 100	x/16 * 100
res-all	2	all	1	armo, weap, ring, amul		ln	x/28 * 100	x/20 * 100
str	2	normal	1	armo, weap, ring, amul		linear	x / 2	x
dex	2	normal	1	armo, weap, ring, amul		linear	x / 2	x
vit	2	all	1	armo, weap, ring, amul		linear	x / 2	x
enr	2	magic	1	armo, weap, ring, amul		linear	x / 2	x
mana%	2	magic	1	armo, weap, ring, amul		linear	x / 3	x
hp%	2	all	1	armo, weap, ring, amul		linear	x / 3	x
dmg%	1	normal	1	weap		linear	(2 * x) + 100	(3*x) + 300
ama	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
pal	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
nec	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
sor	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
bar	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
dru	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
ass	1	all	1	armo, weap, ring, amul		linear	1	1 + x/100
allskills	1	all	1	armo, weap, ring, amul		linear	1	x/100
crush	2	normal	1	weap		linear	25	x/2
aura	3	normal	1	weap	98, 108, 113, 122	linear	3	x/6
aura	3	fire	1	weap	102	linear	3	x/6
aura	3	cold	1	weap	114	linear	3	x/6
aura	3	lightning	1	weap	118	linear	3	x/6
aura	3	normal	1	armo	99, 103, 104, 109	linear	3	x/6
aura	3	fire	1	armo	100	linear	3	x/6
aura	3	cold	1	armo	105	linear	3	x/6
aura	3	lightning	1	armo	110	linear	3	x/6
oskill	3	all	30	armo, weap, ring, amul	32	linear	3	x/3
