index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Kerke's Bloodmoon	1657	Kerke's Waterwalk	9br	War Fork	1	43									5	5000		hp%		14	43	allskills		1	1	vit		21	43																									skilltab	0	3	3					all-stats		10	11					skill	34	3	3					ama		1	1														0
Kerke's Staff	1658	Kerke's Waterwalk	xhn	Mesh Armor	1	43									5	5000		oskill	57	6	11	mana		43	86	move1		20	47																									thorns		129	129					skill	34	3	3																														0
Kerke's Gleamscythe	1659	Kerke's Waterwalk	zvb	Sharkskin Belt	1	43									5	5000		enr		21	43	allskills		1	1	abs-ltng		5	11	ease		50	50	light-thorns		21	43																	all-stats		10	11					extra-ltng		93	93																														0
Kerke's Blinkbats	1660	Kerke's Waterwalk	xvg	Sharkskin Gloves	1	43									5	5000		enr		21	43	res-ltng		15	24	hp		43	86	all-stats		10	16																					extra-ltng		93	93					all-stats		10	11					allskills		1	1																						0
Kerke's Sz	1661	Kerke's Waterwalk	xsk	Death Mask	1	43									5	5000		vit		21	43	mana%		14	43	res-ltng-max		5	15																									ama		1	1					skilltab	0	3	3					light-thorns		129	129																						0
Lenyms Crow	1662	Lenyms Salamander	ult	Hellforge Plate	1	77									5	5000		mana%		25	77	red-mag		38	77	abs-ltng		5	20	res-all-max		5	15																					skill	35	3	3					extra-ltng		127	127					thorns		231	231																						0
Lenyms Maelstromwrath	1663	Lenyms Salamander	utb	Mirrored Boots	1	77									5	5000		vit		38	77	cast1		10	20	regen		15	15	cheap		5	10	allskills		1	1	mana%		25	77													skilltab	0	3	3					skill	35	3	3					allskills		1	1																						0
Lenyms Minataur	1664	Lenyms Salamander	utg	Crusader Gauntlets	1	77									5	5000		ama		1	2	enr		38	77	red-mag		38	77	mana		77	154																					ama		1	1					skill	35	3	3					extra-ltng		127	127																						0
Lenyms Wail	1665	Lenyms Salamander	uhm	Spired Helm	1	77									5	5000		allskills		1	1	enr		38	77	abs-ltng		5	20	extra-ltng		63	127	mana-kill		14	15																	all-stats		14	15					light-thorns		231	231																														0
Arreat's Jadetalon	1666	Arreat's Shadowkiller	xpl	Russet Armor	1	54									5	5000		ama		1	2	all-stats		11	19	heal-kill		11	19																									skill	25	3	3					all-stats		11	12					thorns		162	162					ama		1	1					extra-pois		104	104						0
Arreat's Jordan	1667	Arreat's Shadowkiller	xtb	Battle Boots	1	54									5	5000		oskill	58	6	14	all-stats		11	19	res-all		14	20	cast1		10	20																					extra-pois		104	104					all-stats		11	12					skilltab	0	3	3																						0
Arreat's Scalper	1668	Arreat's Shadowkiller	xhg	War Gauntlets	1	54									5	5000		mana%		18	54	res-pois		16	25	move1		20	52	addxp		5	10	res-pois-len		50	50																	skill	25	3	3					skilltab	0	3	3					thorns		162	162					allskills		1	1														0
Arreat's Pelta	1669	Arreat's Shadowkiller	xhm	Winged Helm	1	54									5	5000		vit		27	54	allskills		1	1	enr		27	54	mana%		18	54																					skill	25	3	3					ama		1	1					thorns		162	162					all-stats		11	12					skilltab	0	3	3						0
Arreat's Dragon	1670	Arreat's Shadowkiller	amu		1	54									5	5000		vit		27	54	res-pois		16	25	res-pois-max		5	15																									skill	25	3	3					all-stats		11	12					thorns		162	162					allskills		1	1														0
Arreat's Shroud	1671	Arreat's Shadowkiller	ztb	Battle Belt	1	54									5	5000		allskills		1	1	enr		27	54	red-mag		27	54	addxp		5	10																					allskills		1	1					extra-pois		104	104					skill	25	3	3					thorns		162	162					skilltab	0	3	3						0
Crack Tine	1672	Crack Flamebellow	stu	Studded Leather 	1	6									5	5000		vit		3	6	enr		3	6																													skilltab	0	3	3					allskills		1	1					extra-pois		56	56					thorns		18	18					all-stats		5	6						0
Crack Minataur	1673	Crack Flamebellow	lbl	Sash	1	6									5	5000		mana%		2	6	enr		3	6	extra-pois		28	56																									skilltab	0	3	3					ama		1	1					thorns		18	18					skill	15	3	3					all-stats		5	6						0
Crack Fortune	1674	Crack Flamebellow	vgl	Heavy Gloves	1	6									5	5000		vit		3	6	allskills		1	1																													allskills		1	1					skill	15	3	3					extra-pois		56	56					skilltab	0	3	3														0
Crack Bloodthief	1675	Crack Flamebellow	rin		1	6									5	5000		allskills		1	1	extra-pois		28	56																													demon-heal		3	3					all-stats		5	6					allskills		1	1					dmg-pois	75.0	36	72					extra-pois		56	56						0
Crack Thieves	1676	Crack Flamebellow	amu		1	6									5	5000		ama		1	2	vit		3	6																													skill	15	3	3					dmg-pois	75.0	36	72					demon-heal		3	3					all-stats		5	6					thorns		18	18						0
Crack Arm	1677	Crack Flamebellow	hlm	Helm	1	6									5	5000		enr		3	6	res-all-max		5	15	red-mag		3	6																									ama		1	1					extra-pois		56	56					all-stats		5	6					thorns		18	18					skilltab	0	3	3						0
Jadetalon Fetid	1678	Jadetalon Lidless	ulg	Bramble Mitts	1	60									5	5000		ama		1	2	abs-ltng		5	15	res-ltng		17	26	ease		50	50																					light-thorns		180	180																																						0
Jadetalon Ethereal	1679	Jadetalon Lidless	7sr	Hyperion Spear	1	60									5	5000		oskill	276	6	15	res-ltng		17	26	ease		50	50	cheap		5	10																					all-stats		12	13																																						0
Pierre Warder	1680	Pierre Champion	xkp	Sallet	1	35									5	5000		hp%		11	35	extra-ltng		42	85	red-mag		17	35																									skilltab	1	3	3																																						0
Pierre Disk	1681	Pierre Champion	gth	Gothic Plate	1	35									5	5000		allskills		1	1	res-ltng-max		5	15	res-ltng		14	23	dmg-to-mana		10	25																					ama		1	1																																						0
Cerebus Iros	1682	Cerebus Break	usk	Demonhead	1	71									5	5000		mana%		23	71	nofreeze		1	1	dmg-to-mana		10	25	oskill	32	3	24	enr		35	71																	all-stats		13	14					thorns		213	213					extra-cold		121	121																						0
Cerebus Staff	1683	Cerebus Break	umb	Boneweave Boots	1	71									5	5000		allskills		1	1	abs-cold		5	18	dmg-to-mana		10	25	half-freeze		1	1	ease		50	50	regen-mana		25	25													skilltab	2	3	3					all-stats		13	14					thorns		213	213																						0
Cerebus Umbral	1684	Cerebus Break	upl	Balrog Skin	1	71									5	5000		aura	105	3	12	res-cold		17	27	abs-cold%		15	30	gold%		96	157	ease		50	50	enr		35	71													ama		1	1					extra-cold		121	121					all-stats		13	14					skill	31	3	3														0
Cerebus Boneslayer	1685	Cerebus Break	6s7	Diamond Bow	1	71									5	5000		allskills		1	1	res-all		15	22	move1		20	61	cast1		10	20	regen-mana		25	25																	allskills		1	1					skilltab	2	3	3																														0
Cerebus Uniques	1686	Cerebus Break	uvc	Vampirefang Belt	1	71									5	5000		hp%		23	71	res-cold		17	27	res-cold-max		5	15	extra-cold		60	121	red-mag		35	71	cast1		10	20													skill	31	3	3					thorns		213	213					ama		1	1					extra-cold		121	121														0
Harvest Lord	1687	Harvest Arm	xmb	Mesh Boots	1	45									5	5000		aura	105	3	8	vit		22	45	extra-cold		47	95	abs-cold%		15	30	dmg-to-mana		10	25																	skilltab	2	3	3					extra-cold		95	95					skill	21	3	3					all-stats		10	11														0
Harvest Spiritforge	1688	Harvest Arm	xrs	Cuirass	1	45									5	5000		vit		22	45	cast1		10	20	regen		15	15	dmg-to-mana		10	25																					extra-cold		95	95					skilltab	2	3	3					ama		1	1					all-stats		10	11														0
Harvest Hellcast	1689	Harvest Arm	xmg	Heavy Bracers	1	45									5	5000		oskill	32	3	15	hp%		15	45	abs-cold		5	12																									allskills		1	1					skill	21	3	3					thorns		135	135					all-stats		10	11														0
Harvest Reaper	1690	Harvest Arm	8l8	Long Siege Bow	1	45									5	5000		vit		22	45	mana%		15	45	enr		22	45	hp%		15	45																					demon-heal		22	23					freeze		1	1					skill	21	3	3					ama		1	1														0
Harvest Band	1691	Harvest Arm	xhl	Basinet	1	45									5	5000		hp%		15	45	mana%		15	45	abs-cold%		15	30	demon-heal		10	11																					allskills		1	1					skill	21	3	3					extra-cold		95	95					thorns		135	135														0
Wizardspike Spike	1692	Wizardspike Gutsiphon	bhm	Bone Helm	1	20									5	5000		oskill	 50	6	6	vit		10	20	allskills		1	1	aura	105	3	4																					skilltab	2	3	3																																						0
Wizardspike Mahim-Oak	1693	Wizardspike Gutsiphon	plt	Plate Mail	1	20									5	5000		ama		1	2	nofreeze		1	1																													extra-cold		70	70																																						0
Gutsiphon SuperKhalimFlail	1694	Gutsiphon Headstriker	8lb	Cedar Bow	1	33									5	5000		oskill	32	3	11	str		16	33	att%		133	299	levelreq		1	1	att		190	355																	cast1		20	20																																						0
Gutsiphon Diggler	1695	Gutsiphon Headstriker	crn	Crown	1	33									5	5000		hp%		11	33	aura	99	3	6	str		16	33																									ac-miss		330	330																																						0
Gore Venom	1696	Gore Lament	xtb	Battle Boots	1	53									5	5000		allskills		1	1	vit		26	53	ac%		153	256																									all-stats		11	12					enr		15	16					str		15	16																						0
Gore Forge	1697	Gore Lament	6sb	Spider Bow	1	53									5	5000		aura	98	3	9	dmg-ac		50	1103	res-all		14	20																									cast1		20	20					mana%		25	25					dmg-norm		159	318					ama		1	1					mana		53	53						0
Gore Crown	1698	Gore Lament	rin		1	53									5	5000		str		26	53	hp		53	106	move1		20	52																									all-stats		11	12					enr		15	16					red-dmg		53	53					ac-hth		530	530														0
Gore Cranium	1699	Gore Lament	xth	Embossed Plate	1	53									5	5000		str		26	53	oskill	32	3	18	ac%		153	256	red-dmg		26	53	demon-heal		11	12																	red-dmg%		28	29					ac		530	530					mana		53	53					str		15	16					thorns		159	159						0
Gore Hellmouth	1700	Gore Lament	zhb	War Belt	1	53									5	5000		dex		26	53	red-dmg		26	53	swing1		20	52	ac%		153	256	move1		20	52																	ama		1	1					ac-hth		530	530					vit		15	16					red-dmg		53	53					all-stats		11	12						0
Gore Sundan	1701	Gore Lament	xhg	War Gauntlets	1	53									5	5000		str		26	53	vit		26	53	dex		26	53	swing1		20	52	ac%		153	256																	ac-miss		530	530					red-dmg		53	53					hp		53	53					red-dmg%		28	29					vit		15	16						0
Ondal's Soul	1702	Ondal's Eaglehorn	xtp	Mage Plate	1	55									5	5000		hp%		18	55	res-all-max		5	15	red-dmg		27	55	ac-hth		300	575	ama		1	2																	ac-miss		550	550					skill	26	3	3					red-dmg		55	55																						0
Ondal's Leviathan	1703	Ondal's Eaglehorn	amu		1	55									5	5000		vit		27	55	all-stats		11	19	res-all-max		5	15	res-all		14	21	swing1		20	53	hp		55	110													all-stats		11	12					cast1		20	20																														0
Ondal's Homunculus	1704	Ondal's Eaglehorn	8lw	Gothic Bow	1	55									5	5000		str		27	55	lifesteal		4	8	ama		1	2	slow		25	25	att		300	575	dex		27	55													cast1		20	20					mana		55	55																														0
Ondal's Blastbark	1705	Ondal's Eaglehorn	zhb	War Belt	1	55									5	5000		hp%		18	55	ac%		155	260	red-dmg		27	55	res-all		14	21																					ac-miss		550	550					hp		55	55					mana%		25	25																						0
Heavens Razoredge	1706	Heavens Robes	ulb	Wyrmhide Boots	1	55									5	5000		aura	100	3	10	vit		27	55	hp%		18	55	mana%		18	55																					fireskill		1	1																																						0
Heavens Lament	1707	Heavens Robes	xld	Sharktooth Armor	1	55									5	5000		oskill	94	6	14	abs-fire		5	14	res-fire		16	26	fireskill		1	3																					ama		1	1																																						0
Gnasher Horror	1708	Gnasher Dragonscale	8s8	Short Siege Bow	1	44									5	5000		hp%		14	44	aura	102	3	8	allskills		1	1	extra-fire		47	94																					skill	16	3	3					fireskill		1	1					ama		1	1					demon-heal		22	22														0
Gnasher Blood	1709	Gnasher Dragonscale	xpl	Russet Armor	1	44									5	5000		oskill	94	6	11	allskills		1	1	cast1		10	20	heal-kill		10	16	mag%		47	69																	allskills		1	1					skilltab	2	3	3					all-stats		10	11																						0
Gnasher Visage	1710	Gnasher Dragonscale	rin		1	44									5	5000		allskills		1	1	mana		44	88	abs-fire%		15	30	fireskill		1	2																					skilltab	2	3	3					ama		1	1					extra-fire		94	94					thorns		132	132														0
Gnasher Greyform	1711	Gnasher Dragonscale	xtg	Battle Gauntlets	1	44									5	5000		hp%		14	44	allskills		1	1	abs-fire%		15	30																									all-stats		10	11					allskills		1	1					extra-fire		94	94					skill	16	3	3														0
Gnasher Tomb	1712	Gnasher Dragonscale	rin		1	44									5	5000		hp%		14	44	vit		22	44	enr		22	44	allskills		1	1																					skilltab	2	3	3					allskills		1	1					dmg-fire		132	264																						0
Gnasher Boneflesh	1713	Gnasher Dragonscale	ztb	Battle Belt	1	44									5	5000		hp%		14	44	allskills		1	1	mana%		14	44	extra-fire		47	94	hp		44	88																	thorns		132	132					ama		1	1					skilltab	2	3	3					all-stats		10	11														0
Chromatic Vigor	1714	Chromatic Toll	hgl	Gauntlets	1	32									5	5000		aura	100	3	6	red-mag		16	32	hp		32	64	cast1		10	20	res-fire		14	22																	ama		1	1					all-stats		9	9																														0
Chromatic Blinkbats	1715	Chromatic Toll	hbt	Greaves	1	32									5	5000		oskill	32	3	11	fireskill		1	2	res-fire		14	22	res-fire-max		5	15	demon-heal		9	9																	thorns		96	96					all-stats		9	9					skill	27	3	3																						0
Chromatic Doomspittle	1716	Chromatic Toll	xkp	Sallet	1	32									5	5000		allskills		1	1	extra-fire		41	82	cast1		10	20	abs-fire		5	8	regen-mana		25	25																	skill	27	3	3					thorns		96	96																														0
Chromatic Whichwild	1717	Chromatic Toll	8hb	Razor Bow	1	32									5	5000		hp%		10	32	abs-fire%		15	30	dmg-fire		160	320																									fireskill		1	1					demon-heal		16	16					skilltab	2	3	3																						0
Crow War	1718	Crow Waterwalk	ci2	Tiara	1	73									5	5000		allskills		1	1	aura	105	3	13	hp%		24	73	nofreeze		1	1	demon-heal		14	15																	skilltab	18	3	3																																						0
Crow Bearer	1719	Crow Waterwalk	upl	Balrog Skin	1	73									5	5000		enr		36	73	oskill	32	3	25	mana%		24	73	move1		20	62	nofreeze		1	1																	ass		1	1																																						0
Rainbow Web	1720	Rainbow Dark	xrn	Grand Crown	1	52									5	5000		red-dmg%		12	17	move1		20	51	ac		285	545	ease		50	50	vit		26	52																	red-mag		52	52					skilltab	18	3	3																														0
Rainbow Gravepalm	1721	Rainbow Dark	xhg	War Gauntlets	1	52									5	5000		str		26	52	hp%		17	52	aura	 103	3	9	res-all		14	20	all-stats		11	18																	vit		15	16					ac%		156	156																														0
Rainbow Bloodfist	1722	Rainbow Dark	xpl	Russet Armor	1	52									5	5000		red-dmg%		12	17	oskill	145	6	13	vit		26	52	ass		1	2	swing1		20	51																	all-stats		11	12					red-dmg		52	52																														0
Rainbow Facet	1723	Rainbow Dark	zhb	War Belt	1	52									5	5000		hp%		17	52	ac%		152	254	res-all		14	20	ac-miss		285	545	vit		26	52																	dex		15	16					skilltab	18	3	3																														0
Atma's Leoric	1724	Atma's Stone	xmb	Mesh Boots	1	42									5	5000		oskill	32	3	14	cast1		10	20	res-pois		15	24	gold%		67	113																					extra-pois		92	92					skill	278	3	3					ass		1	1					thorns		126	126														0
Atma's Tearhaunch	1725	Atma's Stone	aar	Ancient Armor	1	42									5	5000		enr		21	42	vit		21	42	hp%		14	42																									ass		1	1					thorns		126	126					extra-pois		92	92					all-stats		10	11														0
Atma's Tornado	1726	Atma's Stone	xvg	Sharkskin Gloves	1	42									5	5000		hp%		14	42	res-pois		15	24	cast1		10	20	extra-pois		46	92	res-all		13	19																	allskills		1	1					all-stats		10	11					skill	278	3	3																						0
Atma's Mindrend	1727	Atma's Stone	9br	War Fork	1	42									5	5000		vit		21	42	all-stats		10	16	mana-kill		10	11																									dmg-pois	75.0	252	504					skilltab	19	3	3					allskills		1	1																						0
Atma's Hellmouth	1728	Atma's Stone	rin		1	42									5	5000		allskills		1	1	vit		21	42	res-pois		15	24	extra-pois		46	92	dmg-to-mana		10	25																	demon-heal		21	21					extra-pois		92	92					skill	278	3	3					ass		1	1														0
Atma's Vigor	1729	Atma's Stone	xsk	Death Mask	1	42									5	5000		ass		1	2	extra-pois		46	92	addxp		5	10																									ass		1	1					thorns		126	126					extra-pois		92	92					all-stats		10	11														0
Umes Peasent	1730	Umes Guard	xtp	Mage Plate	1	64									5	5000		hp%		21	64	res-all-max		5	15	ac		345	665	balance1		15	25																					ac-hth		640	640																																						0
Umes Class	1731	Umes Guard	7ar	Suwayyah	1	64									5	5000		oskill	32	3	22	dmg-norm		320	640	balance1		15	25	dmg%		228	492	manasteal		4	8																	cast1		20	20																																						0
Arch Islestrike	1732	Arch Riphook	xtp	Mage Plate	1	56									5	5000		aura	110	3	10	allskills		1	1	enr		28	56	mana%		18	56	abs-ltng%		15	30																	thorns		168	168					extra-ltng		106	106																														0
Arch Gore	1733	Arch Riphook	xhm	Winged Helm	1	56									5	5000		ass		1	2	vit		28	56	mana%		18	56	hp%		18	56	enr		28	56																	skill	271	3	3					light-thorns		168	168					extra-ltng		106	106																						0
Arch Grasp	1734	Arch Riphook	rin		1	56									5	5000		oskill	57	6	14	allskills		1	1	mana%		18	56	mana		56	112	res-ltng		16	26																	light-thorns		168	168					all-stats		12	12																														0
Arch Homunculus	1735	Arch Riphook	ulg	Bramble Mitts	1	56									5	5000		vit		28	56	abs-ltng%		15	30	res-all		14	21	regen		15	15																					extra-ltng		106	106					skill	271	3	3																														0
Widowmaker Tombale	1736	Widowmaker Gravenspine	7tr	Stygian Pike	1	67									5	5000		crush		25	34	str		33	67	oskill	54	3	17	lifesteal		4	8	slow		25	25																	all-stats		13	14					hp		67	67																														0
Widowmaker Bloodmoon	1737	Widowmaker Gravenspine	ukp	Hydraskull	1	67									5	5000		aura	 103	3	12	red-dmg%		13	18	dex		33	67	ass		1	2																					skilltab	20	3	3					red-dmg		67	67																														0
Widowmaker Steelpillar	1738	Widowmaker Gravenspine	uui	Dusk Shroud	1	67									5	5000		vit		33	67	ac%		167	284	move1		20	59	res-all-max		5	15	swing1		20	59	hp		67	134													thorns		201	201					skill	277	3	3																														0
Widowmaker Tarnhelm	1739	Widowmaker Gravenspine	umg	Vambraces	1	67									5	5000		red-dmg%		13	18	ass		1	2	ac%		167	284	move1		20	59	res-all-max		5	15	hp		67	134													thorns		201	201					red-mag		67	67																														0
Kaleidoscope Reign	1740	Kaleidoscope Shadowdancer	ba6	Jawbone Visor	1	37									5	5000		aura	 109	3	7	all-stats		9	15	red-dmg		18	37	mag%		43	62																					allskills		1	1					red-dmg		37	37					str		12	13																						0
Kaleidoscope Talons	1741	Kaleidoscope Shadowdancer	9vo	Bill	1	37									5	5000		lifesteal		4	8	dmg-demon		311	685	att-demon		137	311	all-stats		9	15																					mana%		25	25					hp		37	37																														0
Kaleidoscope Branch	1742	Kaleidoscope Shadowdancer	gth	Gothic Plate	1	37									5	5000		dex		18	37	oskill	145	6	10	bar		1	2	res-all		12	19	all-stats		9	15																	hp%		25	25					ac-hth		370	370																														0
Kaleidoscope Harlequin	1743	Kaleidoscope Shadowdancer	xlb	Demonhide Boots	1	37									5	5000		allskills		1	1	hp%		12	37	dex		18	37																									red-dmg%		25	26					ac-hth		370	370					thorns		111	111																						0
Stormguild Steelclash	1744	Stormguild Talons	9ma	Flanged Mace	1	39									5	5000		dmg%		178	417	oskill	121	6	10	dex		19	39																									mana%		25	25					hp%		25	25					str		12	13					dmg-demon		29	30														0
Stormguild Djinnslayer	1745	Stormguild Talons	zvb	Sharkskin Belt	1	39									5	5000		str		19	39	red-dmg%		11	16	swing1		20	45	demon-heal		9	10																					vit		12	13					allskills		1	1					red-dmg%		26	27					ac-miss		390	390					dex		12	13						0
