index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Kerke's Waterwalk	Kerke's Waterwalk	100	gold%		200	200					skill	34	3	3					extra-ltng		93	93					allskills		1	1					skilltab	0	3	3	extra-ltng		93	93	res-all		26	27	res-ltng-max		10	10	allskills		1	1	skill	34	3	3	cheap		10	10					0
Lenyms Salamander	Lenyms Salamander	100	extra-ltng		127	127					regen-mana		77	77																					cheap		10	10	all-stats		14	15	gold%		200	200	skilltab	0	3	3	skill	35	3	3	extra-ltng		127	127	allskills		1	1					0
Arreat's Shadowkiller	Arreat's Shadowkiller	100	addxp		10	10					gold%		200	200					ama		1	1					mag%		100	100					ama		1	1	dmg-pois	75.0	324	648	res-all		28	29	cheap		10	10	skill	25	3	3	res-pois-max		10	10	res-all-max		10	10					0
Crack Flamebellow	Crack Flamebellow	100	regen		6	6					demon-heal		3	3																					res-all		12	13	extra-pois		56	56	dmg-pois	75.0	36	72	addxp		10	10	allskills		1	1	res-all-max		10	10									0
Jadetalon Lidless	Jadetalon Lidless	100	gold%		200	200					all-stats		12	13																					skilltab	0	3	3	res-ltng-max		10	10																									0
Pierre Champion	Pierre Champion	100	res-all		25	26					extra-ltng		85	85																					res-ltng		25	26	allskills		1	1	gold%		200	200	skilltab	1	3	3	res-ltng-max		10	10	res-all		25	26	cheap		10	10	skill	32	3	3	0
Cerebus Break	Cerebus Break	100	res-all		30	31					cheap		10	10					addxp		10	10					all-stats		13	14					res-cold		30	31	dmg-cold	150.0	213	426	res-all		30	31	all-stats		13	14	mag%		100	100	allskills		1	1	gold%		200	200					0
Harvest Arm	Harvest Arm	100	ama		1	1					skill	21	3	3					extra-cold		95	95													res-all		27	28	res-all-max		10	10	addxp		10	10	gold%		200	200	ama		1	1	cheap		10	10	skilltab	2	3	3					0
Wizardspike Gutsiphon	Wizardspike Gutsiphon	100	allskills		1	1					nofreeze		1	1																					gold%		200	200	res-cold-max		10	10	cheap		10	10	allskills		1	1	extra-cold		70	70	res-all		21	22	skill	11	3	3					0
Gutsiphon Headstriker	Gutsiphon Headstriker	100	dmg-demon		24	25					ac		330	330																					skilltab	2	3	3	addxp		10	10	allskills		1	1	hp%		25	25																	0
Gore Lament	Gore Lament	100	red-mag		53	53					att-demon		39	40																					skill	22	3	3	att-demon		39	40	att-undead		39	40	hp		53	53	red-dmg%		28	29	ama		1	1									0
Ondal's Eaglehorn	Ondal's Eaglehorn	100	cheap		10	10					hp%		25	25					hp		55	55													addxp		10	10	red-dmg%		28	29	att-demon		41	42	res-all-max		10	10	move1		20	20													0
Heavens Robes	Heavens Robes	100	ama		1	1					extra-fire		105	105																					res-fire		28	29	res-fire-max		10	10	ama		1	1																					0
Gnasher Dragonscale	Gnasher Dragonscale	100	demon-heal		22	22					regen-mana		44	44					all-stats		10	11													gold%		200	200	res-all		27	28	ama		1	1	dmg-fire		132	264	res-all-max		10	10	all-stats		10	11									0
Chromatic Toll	Chromatic Toll	100	cheap		10	10					regen		32	32																					res-all		24	25	skilltab	2	3	3	gold%		200	200	all-stats		9	9																	0
Crow Waterwalk	Crow Waterwalk	100	skilltab	18	3	3					extra-cold		123	123																					res-all-max		10	10	skill	274	3	3	res-all		30	31	ass		1	1	extra-cold		123	123													0
