Property	Hierarchy	Type	MinLvl	ItemType	eTypeExclusions	iTypeExclusions	PropertyExclusions	Param	LvlFunc	MinValue	MaxValue
red-dmg%	2	normal	1	armo					ln	x/16 * 100	x/12 * 100
res-fire	2	fire	1	armo, weap, ring, amul			res-all		ln	x/12 * 100	x/8 * 100
res-ltng	2	lightning	1	armo, weap, ring, amul			res-all		ln	x/12 * 100	x/8 * 100
res-cold	2	cold	1	armo, weap, ring, amul			res-all		ln	x/12  * 100	x/8 * 100
res-pois	2	poison	1	armo, weap, ring, amul			res-all		ln	x/12 * 100	x/8 * 100
res-all	2	all	1	armo, weap, ring, amul			res-fire,res-ltng,res-cold,res-pois		ln	x/14 * 100	x/10 * 100
str	2	normal	1	armo, weap, ring, amul			dex,enr		linear	x	1.5 * x
dex	2	normal	1	armo, weap, ring, amul			str,enr		linear	x	1.5 * x
vit	2	all	1	armo, weap, ring, amul					linear	x	1.5 * x
enr	2	magic	1	armo, weap, ring, amul			dex,str		linear	x	1.5 * x
mana%	2	magic	1	armo, weap, ring, amul					linear	x/2	x
hp%	2	all	1	armo, weap, ring, amul					linear	x/2	x
dmg%	1	normal	1	armo, ring, amul		tors,helm	sor,nec		linear	x	2 * x
dmg%	1	normal	1	armo		belt,glov,boot	sor,nec		linear	3 * x	5 * x
dmg%	1	normal	1	weap		wand,staf,orb	sor,nec		linear	(5 * x) + 50	(10 * x) + 100
ama	1	all	1	armo, weap, ring, amul		axe,wand,club,scep,mace,hamm,swor,knif,tkni,taxe,staf,h2h,h2h2,orb,pelt,phlm,ashd,head	ama,pal,nec,sor,bar,dru,ass,allskills,cast1		linear	1	1 + x/25
pal	1	all	1	armo, weap, ring, amul	poison	wand,knif,jave,spea,pole,staf,bow,xbow,h2h,h2h2,orb,abow,aspe,ajav,pelt,phlm,head	ama,pal,nec,sor,bar,dru,ass,allskills,extra-pois		linear	1	1 + x/25
nec	1	all	1	armo, weap, ring, amul	normal,cold,fire,lightning	jave,h2h,h2h2,orb,abow,aspe,ajav,pelt,phlm,ashd	ama,pal,sor,bar,dru,ass,allskills,dmg%,swing1,openwounds,deadly,slow,freeze,dmg-norm,dmg-fire,dmg-cold,dmg-ltng,dmg-pois,crush		linear	1	1 + x/25
sor	1	all	1	armo, weap, ring, amul	normal,poison	knif,jave,spea,pole,bow,xbow,h2h,h2h2,abow,aspe,ajav,pelt,phlm,ashd,head	ama,pal,nec,bar,dru,ass,allskills,dmg%,swing1,openwounds,deadly,slow,freeze,dmg-norm,dmg-fire,dmg-cold,dmg-ltng,dmg-pois,crush		linear	1	1 + x/25
bar	1	all	1	armo, weap, ring, amul	fire,cold,lightning,poison	wand,knif,jave,staf,bow,xbow,h2h,h2h2,orb,abow,aspe,ajav,pelt,ashd,head	ama,pal,nec,sor,dru,ass,allskills,cast1,fireskill,extra-fire,extra-ltng,extra-cold,extra-pois		linear	1	1 + x/25
dru	1	all	1	armo, weap, ring, amul	lightning	jave,bow,xbow,h2h,h2h2,orb,abow,aspe,ajav,phlm,ashd,head	ama,pal,nec,sor,bar,ass,allskills		linear	1	1 + x/25
ass	1	all	1	armo, weap, ring, amul		wand,spea,pole,bow,xbow,orb,abow,aspe,ajav,pelt,phlm,ashd,head	ama,pal,nec,sor,bar,dru,allskills		linear	1	1 + x/25
allskills	1	all	1	armo, weap, ring, amul			ama,pal,nec,sor,bar,dru,ass		linear	1	x/50
crush	2	normal	1	weap		wand,knif,tkni,taxe,staf,orb	sor,nec		linear	25	x/2
aura	3	normal	1	weap		wand,staf,orb	sor,nec	98, 108, 113, 122	linear	3	x/3
aura	3	fire	1	weap		wand,staf,orb	sor,nec	102	linear	3	x/3
aura	3	cold	1	weap		wand,staf,orb	sor,nec	114	linear	3	x/3
aura	3	lightning	1	weap		wand,staf,orb	sor,nec	118	linear	3	x/3
aura	3	normal	1	armo				99, 103, 104, 109	linear	3	x/3
aura	3	fire	1	armo				100	linear	3	x/3
