index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol	prop13	par13	min13	max13
The Gnasher	0	0	1		1		7	5	hax	Hand Axe		5	5000	dyel			invhaxu				str		8	8	openwounds		50	50	crush		20	20	dmg%		60	70																																		0				
Deathspade	1	0	1		1		12	9	axe	Axe		5	5000	dgld			invaxeu				stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70																														0				
Bladebone	2	0	1		1		20	15	2ax	Double Axe		5	5000	lgry	lgry						dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50																						0				
Mindrend	3	0	1		1		28	21	mpi	Military Pick		5	5000	lgrn			invmpiu				stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		12	15	att		50	100	dmg%		60	100	openwounds		15	15																						0				
Rakescar	4	0	1		1		36	27	wax	War Axe		5	5000	dgry	dgry						pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		75	150	swing2		30	30																						0				
Fechmars Axe	5	0	1		1		11	8	lax	Large Axe		5	5000	lpur	lpur						dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2																																		0				
Goreshovel	6	0	1		1		19	14	bax	Broad Axe		5	5000	dpur	dpur						swing3		30	30	str		25	25	openwounds		60	60	dmg%		40	50	dmg-max		9	9																														0				
The Chieftan	7	0	1		1		26	19	btx	Battle Axe		5	5000	oran			invbtxu				dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40																														0				
Brainhew	8	0	1		1		34	25	gax	Great Axe		5	5000	whit			invgaxu				dmg-min		14	14	mana		25	25	light		4	4	regen-mana		10	13	dmg%		50	80	dmg-fire		15	35																										0				
The Humongous	9	0	1		1		39	29	gix	Giant Axe		5	5000	blac	blac						str		20	30	dmg-min		8	8	dmg-max		15	25	crush		33	33	ease		20	20	dmg%		80	120																										0				
Iros Torch	10	0	1		1		7	5	wnd	Wand		5	5000	cred			invwndu				nec		1	1	hp%		6	6	dmg-fire		5	9	light		3	3	enr		10	10	regen-mana		5	5																										0				
Maelstromwrath	11	0	1		1		19	14	ywn	Yew Wand		5	5000	dblu	dblu						ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	74	1	3	skill	77	1	3	skill	66	1	3	skill	76	1	3														0				
Gravenspine	12	0	1		1		27	20	bwn	Bone Wand		5	5000	cgrn			invbwnu				str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	regen-mana		5	5	nec		2	2	mana		25	50																		0				
Umes Lament	13	0	1		1		38	28	gwn	Grim Wand		5	5000	lblu	lblu						nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	77	3	3	skill	87	2	2																										0				
Felloak	14	0	1		1		4	3	clb	Club		5	5000	lgry			invclbu				res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		70	80																										0				
Knell Striker	15	0	1		1		7	5	scp	Scepter		5	5000	dred	dred						crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	80																										0				
Rusthandle	16	0	1		1		23	17	gsc	Grand Scepter		5	5000	lgld	lgld						pal		1	1	dmg-norm		3	7	red-mag		1	1	hp%		8	8	dmg%		50	60	dmg-undead		50	60	skill	111	1	3	skill	103	3	3																		0				
Stormeye	17	0	1		1		31	23	wsp	War Scepter		5	5000	cred	cred						dmg-ltng		1	6	dmg-cold	75	3	5	hp%		10	10	dmg%		80	120	skill	110	3	5	skill	118	3	3	skill	121	1	1																						0				
Stoutnail	18	0	1		1		7	5	spc	Spiked Club		5	5000	dgry			invspcu				thorns		3	10	dmg%		100	100	vit		7	7	red-mag		2	2																																		0				
Crushflange	19	0	1		1		12	9	mac	Mace		5	5000	blac	blac						str		15	15	knock		1	1	light		2	2	res-fire		50	50	dmg%		50	60	crush		33	33																										0				
Bloodrise	20	0	1		1		20	15	mst	Morning Star		5	5000	lblu			invmstu				dmg%		120	120	att%		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	96	3	3	hp%		5	5																						0				
The Generals Tan Do Li Ga	21	0	1		1		28	21	fla	Flail		5	5000	dblu	dblu						dmg-min		1	1	dmg-max		20	20	slow		50	50	ac		25	25	regen-mana		5	5	dmg%		50	60	swing2		20	20																						0				
Ironstone	22	0	1		1		36	27	whm	War Hammer		5	5000	cblu	cblu						att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	*enr		-5	-5																										0				
Bonesob	23	0	1		1		32	24	mau	Maul		5	5000	lred			invmauu				dmg%		200	300	crush		40	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50																														0				
Steeldriver	24	0	1		1		39	29	gma	Great Maul		5	5000	cgrn	cgrn		invgma				ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		150	250																																		0				
Rixots Keen	25	0	1		1		3	2	ssd	Short Sword		5	5000	blac	blac						dmg-min		5	5	att%		20	20	light		2	2	crush		25	25	ac		25	25	dmg%		100	100																										0				
Blood Crescent	26	0	1		1		10	7	scm	Scimitar		5	5000	lblu			invscmu				res-all		15	15	dmg%		60	80	hp		15	15	light		4	4	openwounds		33	33	swing2		15	15	hp%		15	15																						0				
Krintizs Skewer	27	0	1		1		14	10	sbr	Saber		5	5000	cblu			inv9sbu				ignore-ac		1	1	str		10	10	dex		10	10	regen-mana		7	7	dmg%		50	50	dmg-norm		3	7																										0				
Gleamscythe	28	0	1		1		18	13	flc	Falchion		5	5000	lred			invflcu				light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-cold	50	3	5																										0				
Azurewrath	29	0	0		1		18	13	crs	Crystal Sword		5	5000	lgry			invcrsu				deadly		50	50	mag%		10	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																										0				
Griswolds Edge	30	0	1		1		23	17	bsd	Broad Sword		5	5000	cred			invbsdu				fire-min		10	12	fire-max		15	25	att		100	100	swing1		10	10	knock		1	1	dmg%		80	120	str		12	12																						0				
Hellplague	31	0	1		1		30	22	lsd	Long Sword		5	5000	dred			invlsdu				regen-mana		5	5	hp%		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		70	80	dmg-fire		25	75	fireskill		2	2																		0				
Culwens Point	32	0	1		1		39	29	wsd	War Sword		5	5000	whit	whit						allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		70	80																										0				
Shadowfang	33	0	1		1		16	12	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				regen-mana		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	hp%		9	9																										0				
Soulflay	34	0	1		1		26	19	clm	Claymore		5	5000	dgrn	dgrn						regen-mana		4	10	hp%		4	4	dmg%		70	100	res-all		5	5	swing2		10	10																														0				
Kinemils Awl	35	0	1		1		31	23	gis	Giant Sword		5	5000	dblu			invgisu				att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	skill	102	6	6																										0				
Blacktongue	36	0	1		1		35	26	bsw	Bastard Sword		5	5000	lgrn			invbswu				dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		50	60	*hp		-10	-10																										0				
Ripsaw	37	0	1		1		35	26	flb	Flamberge		5	5000	cblu	cblu						openwounds		80	80	dmg-max		15	15	regen-mana		6	6	dmg%		80	100																																		0				
The Patriarch	38	0	1		1		39	29	gsd	Great Sword		5	5000	cred			invgsdu				red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		100	120	str		10	10																										0				
Gull	39	0	1		1		6	4	dgr	Dagger		5	5000	lgry	lgry						dmg-min		1	1	dmg-max		15	15	mag%		100	100	mana		-5	-5							0	0																										0				
The Diggler	40	0	1		1		15	11	dir	Dirk		5	5000	dgry	dgry						dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1																										0				
The Jade Tan Do	41	0	1		1		26	19	kri	Kris		5	5000	oran			invkrsu				att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		20	20																														0				
Irices Shard	42	0	1		1		34	25	bld	Blade		5	5000	dblu	dblu						cast3		50	50	mana		50	50	att		55	55	res-all		10	10																																		0				
The Dragon Chang	43	0	1		1		11	8	spr	Spear		5	5000	dpur	dpur						att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		3	6																														0				
Razortine	44	0	1		1		16	12	tri	Trident		5	5000	oran			invtriu				slow		25	25	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		30	50																										0				
Bloodthief	45	0	1		1		23	17	brn	Brandistock		5	5000	whit	whit						openwounds		35	35	str		10	10	hp%		8	12	hp		26	26	dmg%		50	70																														0				
Lance of Yaggai	46	0	1		1		30	22	spt	Spetum		5	5000	lred	lred						thorns		8	8	ltng-min		1	1	ltng-max		60	60	res-all		15	15	swing2		40	40																														0				
The Tannr Gorerod	47	0	1		1		36	27	pik	Pike		5	5000	lgry	lgry						fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		80	100																		0				
Dimoaks Hew	48	0	1		1		11	8	bar	Bardiche		5	5000	blac	blac						dex		15	15	dmg%		100	100	swing2		20	20	ac		-8	-8																																		0				
Steelgoad	49	0	1		1		19	14	vou	Voulge		5	5000	cgrn	cgrn						howl		96	96	deadly		30	30	att		30	30	res-all		5	5	dmg%		60	80	dur		20	40																										0				
Soul Harvest	50	0	1		1		26	19	scy	Scythe		5	5000	dgry			invscyu				openwounds		30	30	att		45	45	res-all		20	20	dmg%		50	90	regen-mana		10	10	enr		5	5																										0				
The Battlebranch	51	0	1		1		34	25	pax	Poleaxe		5	5000	lblu	lblu						swing3		30	30	dex		10	10	dmg%		50	70	att		50	100	hp%		7	7																														0				
Woestave	52	0	1		1		38	28	hal	Halberd		5	5000	dblu	dblu						slow		50	50	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		20	40																		0				
The Grim Reaper	53	0	1		1		39	29	wsc	War Scythe		5	5000	lpur	lpur						deadly		100	100	noheal		1	1	regen-mana		5	5	dmg%		20	20	dmg-min		15	15	*hp		-20	-20																										0				
Bane Ash	54	0	1		1		7	5	sst	Short Staff		5	5000	lgrn	lgrn						fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	swing2		20	20	dmg%		50	60	skill	36	5	5	skill	37	2	2																		0				
Serpent Lord	55	0	1		1		12	9	lst	Long Staff		5	5000	cgrn	cgrn						dmg-pois	75	40	40	res-pois		50	50	light		-1	-1	mana		10	10	dmg%		30	40	regen-mana		100	100	reduce-ac		50	50																						0				
Lazarus Spire	56	0	1		1		24	18	cst	Gnarled Staff		5	5000	lgry			invcstu				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	53	1	1	skill	49	2	2	skill	42	3	3	regen-mana		43	43	dmg-ltng		1	28	sor		1	1														0				
The Salamander	57	0	1		1		28	21	bst	Battle Staff		5	5000	dred	dred						dmg-fire		15	32	res-fire		30	30	skill	51	1	1	skill	47	2	2	skill	37	3	3	fireskill		2	2																										0				
