Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
emptyString	100	1	1	1	25					1	2	ac		2	7										armo												0	0
emptyString	100	1	1	1	25					1	2	ac		1	3										ring	amul											0	0
emptyString	100	1	1	5	30					1	2	ac		5	10										armo												0	0
emptyString	100	1	1	5	30					1	2	ac		2	4										ring	amul											0	0
emptyString	100	1	1	10	35					1	2	ac		7	12										armo												0	0
emptyString	100	1	1	10	35					1	2	ac		3	5										ring	amul											0	0
emptyString	100	1	1	15	40					1	2	ac		10	15										armo												0	0
emptyString	100	1	1	15	40					1	2	ac		4	6										ring	amul											0	0
emptyString	100	1	1	20	45					1	2	ac		12	17										armo												0	0
emptyString	100	1	1	20	45					1	2	ac		5	7										ring	amul											0	0
emptyString	100	1	1	25	50					1	2	ac		15	20										armo												0	0
emptyString	100	1	1	25	50					1	2	ac		6	8										ring	amul											0	0
emptyString	100	1	1	30	55					1	2	ac		17	22										armo												0	0
emptyString	100	1	1	30	55					1	2	ac		7	9										ring	amul											0	0
emptyString	100	1	1	35	60					1	2	ac		20	25										armo												0	0
emptyString	100	1	1	35	60					1	2	ac		8	10										ring	amul											0	0
emptyString	100	1	1	40	65					1	2	ac		22	27										armo												0	0
emptyString	100	1	1	40	65					1	2	ac		9	11										ring	amul											0	0
emptyString	100	1	1	45	70					1	2	ac		25	30										armo												0	0
emptyString	100	1	1	45	70					1	2	ac		10	12										ring	amul											0	0
emptyString	100	1	1	50	72					1	2	ac		27	32										armo												0	0
emptyString	100	1	1	50	72					1	2	ac		11	13										ring	amul											0	0
emptyString	100	1	1	55	74					1	2	ac		30	35										armo												0	0
emptyString	100	1	1	55	74					1	2	ac		12	14										ring	amul											0	0
emptyString	100	1	1	60	76					1	2	ac		32	37										armo												0	0
emptyString	100	1	1	60	76					1	2	ac		13	15										ring	amul											0	0
emptyString	100	1	1	65	78					1	2	ac		35	40										armo												0	0
emptyString	100	1	1	65	78					1	2	ac		14	16										ring	amul											0	0
emptyString	100	1	1	70	80					1	2	ac		37	42										armo												0	0
emptyString	100	1	1	70	80					1	2	ac		15	17										ring	amul											0	0
emptyString	100	1	1	72	82					1	2	ac		40	45										armo												0	0
emptyString	100	1	1	72	82					1	2	ac		16	18										ring	amul											0	0
emptyString	100	1	1	74	84					1	2	ac		42	47										armo												0	0
emptyString	100	1	1	74	84					1	2	ac		17	19										ring	amul											0	0
emptyString	100	1	1	76	86					1	2	ac		45	50										armo												0	0
emptyString	100	1	1	76	86					1	2	ac		18	20										ring	amul											0	0
emptyString	100	1	1	78	88					1	2	ac		47	52										armo												0	0
emptyString	100	1	1	78	88					1	2	ac		19	21										ring	amul											0	0
emptyString	100	1	1	80	90					1	2	ac		50	55										armo												0	0
emptyString	100	1	1	80	90					1	2	ac		20	22										ring	amul											0	0
emptyString	100	1	1	82	91					1	2	ac		52	57										armo												0	0
emptyString	100	1	1	82	91					1	2	ac		21	23										ring	amul											0	0
emptyString	100	1	1	84	92					1	2	ac		55	60										armo												0	0
emptyString	100	1	1	84	92					1	2	ac		22	24										ring	amul											0	0
emptyString	100	1	1	86	93					1	2	ac		57	62										armo												0	0
emptyString	100	1	1	86	93					1	2	ac		23	25										ring	amul											0	0
emptyString	100	1	1	88	94					1	2	ac		60	65										armo												0	0
emptyString	100	1	1	88	94					1	2	ac		24	26										ring	amul											0	0
emptyString	100	1	1	90	95					1	2	ac		62	67										armo												0	0
emptyString	100	1	1	90	95					1	2	ac		25	27										ring	amul											0	0
emptyString	100	1	1	91	96					1	2	ac		65	70										armo												0	0
emptyString	100	1	1	91	96					1	2	ac		26	28										ring	amul											0	0
emptyString	100	1	1	92	97					1	2	ac		67	72										armo												0	0
emptyString	100	1	1	92	97					1	2	ac		27	29										ring	amul											0	0
emptyString	100	1	1	93	98					1	2	ac		70	75										armo												0	0
emptyString	100	1	1	93	98					1	2	ac		28	30										ring	amul											0	0
emptyString	100	1	1	94	99					1	2	ac		72	77										armo												0	0
emptyString	100	1	1	94	99					1	2	ac		29	31										ring	amul											0	0
emptyString	100	1	1	95	99					1	2	ac		75	80										armo												0	0
emptyString	100	1	1	95	99					1	2	ac		30	32										ring	amul											0	0
emptyString	100	1	1	96	99					1	2	ac		77	82										armo												0	0
emptyString	100	1	1	96	99					1	2	ac		31	33										ring	amul											0	0
emptyString	100	1	1	97	99					1	2	ac		80	85										armo												0	0
emptyString	100	1	1	97	99					1	2	ac		32	34										ring	amul											0	0
emptyString	100	1	1	98	99					1	2	ac		82	87										armo												0	0
emptyString	100	1	1	98	99					1	2	ac		33	35										ring	amul											0	0
emptyString	100	1	1	99	99					1	2	ac		85	90										armo												0	0
emptyString	100	1	1	99	99					1	2	ac		34	36										ring	amul											0	0
emptyString	100	1	1	1	25					1	3	red-dmg		0	1										armo												0	0
emptyString	100	1	1	1	25					1	3	red-dmg		0	0										ring	amul											0	0
emptyString	100	1	1	5	30					1	3	red-dmg		1	2										armo												0	0
emptyString	100	1	1	5	30					1	3	red-dmg		0	0										ring	amul											0	0
emptyString	100	1	1	10	35					1	3	red-dmg		1	2										armo												0	0
emptyString	100	1	1	10	35					1	3	red-dmg		0	0										ring	amul											0	0
emptyString	100	1	1	15	40					1	3	red-dmg		2	3										armo												0	0
emptyString	100	1	1	15	40					1	3	red-dmg		0	0										ring	amul											0	0
emptyString	100	1	1	20	45					1	3	red-dmg		2	3										armo												0	0
emptyString	100	1	1	20	45					1	3	red-dmg		0	0										ring	amul											0	0
emptyString	100	1	1	25	50					1	3	red-dmg		3	4										armo												0	0
emptyString	100	1	1	25	50					1	3	red-dmg		0	0										ring	amul											0	0
emptyString	100	1	1	30	55					1	3	red-dmg		3	5										armo												0	0
emptyString	100	1	1	30	55					1	3	red-dmg		0	1										ring	amul											0	0
emptyString	100	1	1	35	60					1	3	red-dmg		4	5										armo												0	0
emptyString	100	1	1	35	60					1	3	red-dmg		0	1										ring	amul											0	0
emptyString	100	1	1	40	65					1	3	red-dmg		5	6										armo												0	0
