npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	20	1088	128	4	40	922	1024									5000	30000	35000
charsi	20	960	128	4	40	922	1024									5000	30000	35000
akara	20	1024	128	4	40	922	1024									5000	30000	35000
lysander	20	1024	128	9	40	922	1024									10000	30000	35000
drognan	20	1024	128	9	40	922	1024									10000	30000	35000
elzix	20	1024	128	9	40	922	1024									10000	30000	35000
fara	20	1024	128	9	40	922	1024									10000	30000	35000
hratli	20	1024	128	17	40	922	1024									15000	30000	35000
alkor	20	1024	128	17	40	922	1024									15000	30000	35000
ormus	20	1024	128	17	40	922	1024									15000	30000	35000
asheara	20	1024	128	17	40	922	1024									15000	30000	35000
jamella	20	1024	128													20000	30000	35000
halbu	20	1024	128													20000	30000	35000
malah	20	2048	128	35	40	512	1024									25000	30000	35000
drehya	20	2048	128	35	40	512	1024									25000	30000	35000
larzuk	20	2048	128	35	40	512	1024									25000	30000	35000
nihlathak	20	2048	128	35	40	512	1024									25000	30000	35000
