index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Nightwing's Toothrow	1657	Nightwing's Bladebuckle	ukp	Hydraskull	7	66									5	5000	2	ama		1	2	abs-ltng		5	17	cast1		10	20	mana		66	132	res-ltng		17	27																	allskills		1	1																																						0
Nightwing's Cleft	1658	Nightwing's Bladebuckle	ula	Scarab Husk	7	66									5	5000	2	allskills		1	1	mana-kill		13	14	red-mag		33	66	vit		33	66	extra-ltng		58	116																	allskills		1	1																																						0
Vortex Maelstromwrath	1659	Vortex Hell	ulg	Bramble Mitts	7	62									5	5000	2	allskills		1	1	heal-kill		12	21	red-mag		31	62	res-all		14	21	move1		20	56																	all-stats		12	13																																						0
Vortex Hellplague	1660	Vortex Hell	uhn	Boneweave	7	62									5	5000	2	allskills		1	1	enr		31	62	gold%		87	143	regen-mana		25	25	oskill	58	6	16																	allskills		1	1					light-thorns		186	186																														0
Vortex Ward	1661	Vortex Hell	amu		7	62									5	5000	2	allskills		1	1	res-ltng		17	26	regen		15	15	cheap		5	10																					ama		1	1					thorns		186	186																														0
Gloomstrap Gutsiphon	1662	Gloomstrap Scalper	xlg	Demonhide Gloves	7	33									5	5000	2	ama		1	2	ease		-50	-50	cheap		5	10																									thorns		99	99					all-stats		9	10																														0
Gloomstrap Ironpelt	1663	Gloomstrap Scalper	xea	Serpentskin Armor	7	33									5	5000	2	ama		1	2	red-mag		16	33	res-pois-max		5	15																									all-stats		9	10					allskills		1	1					skill	25	3	3																						0
Gloomstrap Key	1664	Gloomstrap Scalper	9ja	War Javelin	7	33									5	5000	2	ama		1	2	res-pois-max		5	15	hp		33	66	all-stats		9	14																					skill	25	3	3					extra-pois		83	83																														0
Gloomstrap Boneshade	1665	Gloomstrap Scalper	xvb	Sharkskin Boots	7	33									5	5000	2	allskills		1	1	hp%		11	33	enr		16	33																									thorns		99	99					skill	25	3	3																														0
Deathcleaver Vipermagi	1666	Deathcleaver Langer	uhm	Spired Helm	7	78									5	5000	2	allskills		1	1	ease		-50	-50	regen		15	15	regen-mana		25	25																					ama		1	1					extra-pois		128	128					skill	15	3	3																						0
