index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
jamellasunique407	407	100	1		1		3		hax			5	5000								allskills		1	1	move1		25	28	regen		30	30																																						0
jamellasunique408	408	100	1		1		7		axe			5	5000								dru		1	2	mag%		32	64	half-freeze		1	1	regen		30	30																																		0
jamellasunique409	409	100	1		1		14		2ax			5	5000								ass		1	2	regen		30	30	gold%		78	142	mag%		39	78	cheap		10	20	dmg-pois	75	70	140	res-all		18	27																						0
jamellasunique410	410	100	1		1		22		mpi			5	5000								nec		1	2	extra-pois		22	44	oskill	81	6	22	regen		30	30	demon-heal		10	16	res-pois-len		75	75																										0
jamellasunique411	411	100	1		1		23		wax			5	5000								dru		1	2	abs-ltng%		25	50	ease		-100	-100	aura	118	3	8	regen		30	30	regen-mana		50	50																										0
jamellasunique412	412	100	1		1		5		lax			5	5000								bar		1	2	mana-kill		6	8	extra-fire		5	10																																						0
jamellasunique413	413	100	1		1		11		bax			5	5000								dmg%		233	555	swing1		25	36	vit		11	17	crush		25	25	dmg-ac		50	1061	att%		111	233	reduce-ac		50	75																						0
jamellasunique414	414	100	1		1		16		btx			5	5000								ass		1	2	addxp		10	20	gold%		82	148	abs-fire		5	8	abs-fire%		25	50	mag%		41	82																										0
jamellasunique415	415	100	1		1		25		gax			5	5000								sor		1	2	res-pois		26	41	heal-kill		11	18	addxp		10	20																																		0
jamellasunique416	416	100	1		1		30		gix			5	5000								allskills		1	1	res-pois-len		75	75	dmg-pois	75	150	300	mana-kill		12	20	mag%		55	110	regen-mana		50	50	ease		-100	-100	oskill	121	6	30	res-all		24	35	heal-kill		12	20										0
jamellasunique417	417	100	1		1		2		wnd			5	5000								bar		1	2	abs-ltng		5	5	addxp		10	20																																						0
jamellasunique418	418	100	1		1		11		ywn			5	5000								dru		1	2	res-fire		19	30	mana		22	33	abs-fire%		25	50	regen		30	30																														0
jamellasunique419	419	100	1		1		19		bwn			5	5000								bar		1	2	vit		19	29	dmg-ltng		95	190	demon-heal		9	15	gold%		88	157	light-thorns		19	38	mana-kill		9	15																						0
jamellasunique420	420	100	1		1		29		gwn			5	5000								allskills		1	1	mana		58	87	all-stats		12	20	hp		58	87	res-all-max		10	20																														0
jamellasunique421	421	100	1		1		1		clb			5	5000								allskills		1	1	dmg%		203	505	crush		25	25																																						0
jamellasunique422	422	100	1		1		3		scp			5	5000								pal		1	2	demon-heal		5	7	res-all		7	11																																						0
jamellasunique423	423	100	1		1		15		gsc			5	5000								nec		1	2	dmg-cold	150	75	150	abs-cold		5	8	cast1		15	25	res-cold		22	34	gold%		80	145	demon-heal		8	13	freeze		1	1																		0
jamellasunique424	424	100	1		1		21		wsp			5	5000								pal		1	2	mana-kill		10	16	demon-heal		10	16	fireskill		1	3	aura	102	3	7																														0
jamellasunique425	425	100	1		1		4		spc			5	5000								sor		1	2	extra-pois		4	8	enr		4	6	res-all		9	14																																		0
jamellasunique426	426	100	1		1		7		mac			5	5000								ama		1	2	res-cold		16	25	enr		7	11	freeze		1	1	mag%		32	64																														0
jamellasunique427	427	100	1		1		12		mst			5	5000								ama		1	2	dmg-norm		60	120	vit		12	18	str		12	18																																		0
jamellasunique428	428	100	1		1		18		fla			5	5000								dmg%		254	590	dru		1	2	dmg-norm		90	180	slow		25	25	att%		118	254	deadly		35	70																										0
jamellasunique429	429	100	1		1		29		whm			5	5000								ama		1	3	mag%		54	108	regen-mana		50	50	abs-fire%		25	50	res-fire-max		10	20	abs-fire		5	15	mana		58	87	mana-kill		12	20	cheap		10	20	aura	102	3	10										0
jamellasunique430	430	100	1		1		23		mau			5	5000								nec		1	2	dmg-ltng		115	230	enr		23	35	vit		23	35	res-all		22	32	abs-ltng		5	12																										0
jamellasunique431	431	100	1		1		38		gma			5	5000								ama		1	3	dmg-pois	75	190	380	extra-pois		38	76	res-pois-max		10	20	addxp		10	20	demon-heal		14	24																										0
jamellasunique432	432	100	1		1		1		ssd			5	5000								sor		1	2	mana-kill		5	6	res-ltng-max		10	20																																						0
